03:39:30.608 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10 ms. Found 0 Redis repository interfaces.
03:39:30.990 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9119 (http)
03:39:30.997 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9119"]
03:39:30.997 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
03:39:30.997 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.50]
03:39:31.052 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
03:39:31.052 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1014 ms
03:39:32.577 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9119"]
03:39:32.596 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9119 (http) with context path ''
03:39:32.603 [main] INFO  c.o.p.PermissionDemoApplication - Started PermissionDemoApplication in 3.225 seconds (JVM running for 4.258)
03:39:33.879 [http-nio-9119-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
03:39:33.879 [http-nio-9119-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
03:39:33.879 [http-nio-9119-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
03:39:39.016 [http-nio-9119-exec-2] INFO  c.o.p.c.i.JwtTokenInterceptor - userID=============>null
03:39:46.532 [http-nio-9119-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
03:39:47.078 [http-nio-9119-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
03:39:54.343 [http-nio-9119-exec-3] INFO  c.o.p.c.i.JwtTokenInterceptor - userID=============>7
03:40:15.253 [http-nio-9119-exec-4] INFO  c.o.p.c.i.JwtTokenInterceptor - userID=============>null
03:40:18.418 [http-nio-9119-exec-5] INFO  c.o.p.c.i.JwtTokenInterceptor - userID=============>7
03:40:24.969 [http-nio-9119-exec-6] INFO  c.o.p.c.i.JwtTokenInterceptor - userID=============>null
03:40:32.581 [http-nio-9119-exec-7] INFO  c.o.p.c.i.JwtTokenInterceptor - userID=============>null
03:40:37.359 [http-nio-9119-exec-8] INFO  c.o.p.c.i.JwtTokenInterceptor - userID=============>7
03:42:10.329 [http-nio-9119-exec-1] INFO  c.o.p.c.i.JwtTokenInterceptor - userID=============>null
03:42:12.533 [http-nio-9119-exec-3] INFO  c.o.p.c.i.JwtTokenInterceptor - userID=============>null
03:42:13.097 [http-nio-9119-exec-4] INFO  c.o.p.c.i.JwtTokenInterceptor - userID=============>null
03:42:45.185 [http-nio-9119-exec-6] INFO  c.o.p.c.i.JwtTokenInterceptor - userID=============>7
03:48:05.565 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
03:48:05.577 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
